file,status,original_lines,kept_lines,dropped_placeholders,dropped_empty_tails,empty_lines_removed,whitespace_collapsed,numbers_rounded,dates_normalized,duplicates_removed,bad_date_segments
00041ae6-f377-45a0-8a98-b85d865a71c7.txt,ok,76,44,1,0,14,42,21,57,17,49
004c0608-01c7-4ad6-873d-c20317713dba.txt,ok,98,65,1,0,14,64,17,79,18,73
0062b803-fb17-497f-b324-f3af54cc9eab.txt,ok,43,23,1,0,14,18,9,26,5,22
007236b3-49f7-4ca2-b352-204826b86681.txt,ok,54,33,1,0,14,26,9,35,6,29
009dd081-6d01-4b9b-aa8d-757bc3d3104d.txt,ok,62,30,1,0,14,31,12,43,17,40
00c124fc-0451-479e-9a3e-0b7147306133.txt,ok,41,22,1,0,14,16,6,23,4,19
00c57c09-80c0-44ce-a71f-98ec3ec9c8b9.txt,ok,112,55,1,0,14,70,27,79,42,76
00d869e2-6793-4ebf-9340-38bf18d223c4.txt,ok,47,28,1,0,14,19,12,29,4,22
010a878a-d6b8-407a-b199-40e6b2e971d1.txt,ok,38,19,1,0,14,14,9,19,4,16
010e015b-e8a6-4196-bc3f-db79a81e8f35.txt,ok,42,23,1,0,14,18,7,19,4,19
01137344-22e3-4327-bd2d-1f30221d748d.txt,ok,42,22,0,0,14,17,9,23,6,21
013c3900-7723-44a6-9a21-6e27f318fdf0.txt,ok,68,45,1,0,14,36,11,54,8,42
0140c755-dc70-4e46-abf2-5302f9d7bc6b.txt,ok,65,35,1,0,14,35,21,47,15,39
014386a4-6ac3-45ee-a5de-91ceae47e39c.txt,ok,123,80,1,0,14,84,20,104,28,96
014bac17-6ca3-492a-a866-06f847e30f6e.txt,ok,42,22,1,0,14,16,9,23,5,19
018551ed-4711-4245-9c4a-14d802fad679.txt,ok,166,96,1,0,14,122,35,140,55,137
01912736-98a6-43ed-a5ff-a84b1df234ca.txt,ok,28,10,1,0,14,6,0,4,3,7
0196c233-20bf-4483-8499-7788c226c85b.txt,ok,75,46,1,0,14,42,21,56,14,48
01a44978-37cc-4f7c-bc01-e1d93170ac82.txt,ok,103,49,1,0,14,57,12,73,39,67
01fbe5a0-c9f7-4944-afa6-851d46287b56.txt,ok,49,29,1,0,14,24,9,30,5,28
0215d024-e14f-46d3-8a22-3a4aedf503b0.txt,ok,69,35,1,0,14,38,24,44,19,42
0222dcee-414a-4dde-98dd-58d750541f6c.txt,ok,75,46,1,0,14,40,22,52,14,44
022de7af-74eb-4163-bd8e-580b04e66e2b.txt,ok,24,4,0,0,14,0,0,1,6,1
0261c801-ea72-4c1d-a965-fac93c8b0272.txt,ok,86,52,1,0,14,47,25,60,19,55
027922c0-4a93-4725-9cc0-75d1c6f023da.txt,ok,91,61,1,0,14,52,16,84,15,58
0294d214-770d-4398-b1b6-d7dc4a711538.txt,ok,75,49,1,0,14,41,21,49,11,45
02c048ae-c3ec-4cec-9e79-9b6e07405695.txt,ok,57,38,1,0,14,23,6,42,4,27
02db190a-6d76-41da-b205-4a4babbbad37.txt,ok,24,4,0,0,14,0,0,1,6,1
02e1ee3b-8370-4844-a5df-b00956fe0563.txt,ok,24,4,0,0,14,0,0,1,6,1
03316c80-f85a-4737-ad1f-83cbc757dbfd.txt,ok,97,66,1,0,14,64,15,76,16,74
0339b37d-b38b-4a67-9494-00f2f438e960.txt,ok,70,43,1,0,14,37,18,52,12,42
033bc504-97a4-4035-b3ff-3764cae244fb.txt,ok,71,28,0,0,14,39,4,38,29,43
03602053-3672-4425-87e1-cc9642e7628d.txt,ok,24,4,0,0,14,0,0,1,6,1
036f3239-f21e-4af6-86a8-d863e11d6b44.txt,ok,56,33,1,0,14,27,18,37,8,30
037d07d8-9bee-46aa-9e4c-a19af0f1c36d.txt,ok,24,4,0,0,14,0,0,1,6,1
037ff49d-b19b-4b9f-8d05-63b2c17dc11d.txt,ok,68,41,1,0,14,32,18,50,12,38
03a05299-f2fa-4246-b667-0c0281c17ad2.txt,ok,148,85,1,0,14,110,35,126,48,121
03a97069-6ac6-432b-abca-1ef999c01bc5.txt,ok,171,98,1,0,14,122,35,149,58,138
03aae9a2-1cbd-4ab2-a99d-1c791007f50b.txt,ok,24,4,0,0,14,0,0,1,6,1
03ad7401-42ae-41e4-b5a9-f2da4b42a46e.txt,ok,66,42,1,0,14,35,21,43,9,39
03b83fea-376f-4371-b75c-0f1afcab2fdf.txt,ok,55,32,1,0,14,28,12,37,8,32
03cad426-6aa5-4b68-8aa9-178c44937405.txt,ok,84,51,1,0,14,45,21,67,18,52
03d50fe3-d840-4c36-b29a-f5fc178c1561.txt,ok,24,6,1,0,14,0,0,4,3,2
03d7cbd8-7e4c-40db-aff8-b851fa146276.txt,ok,24,4,0,0,14,0,0,1,6,1
03e28af8-86c3-4b9a-826e-56bbe2e48042.txt,ok,92,61,1,0,14,60,16,73,16,69
03e67b1d-b3ab-4147-9988-7fe28b5be1ba.txt,ok,24,4,0,0,14,0,0,1,6,1
03ffd775-8378-4d05-b8b3-851d3ffb3a91.txt,ok,249,149,1,0,14,195,50,230,85,219
04038832-ad99-4bf6-918c-87d47df5becc.txt,ok,63,36,1,0,14,31,21,42,12,38
040f623f-378b-46a1-a5df-ae68cc5b5992.txt,ok,159,85,1,0,14,115,35,140,59,130
04429f0c-f55c-4557-84e8-0ccfcbc94dad.txt,ok,112,65,1,0,14,79,25,93,32,89
04492739-07bd-4464-a83b-a463c3aa4b78.txt,ok,173,101,1,0,14,126,40,159,57,141
04576161-fcef-483a-b1b1-d457d95beef5.txt,ok,72,31,1,0,14,42,6,38,26,44
0503c97e-f51c-4edc-8901-0176ad8649a5.txt,ok,24,4,0,0,14,0,0,1,6,1
05192e1c-6599-4f96-a937-a01762f43e7c.txt,ok,72,43,1,0,14,40,18,51,14,45
051f15ae-023e-40ed-8a1e-a2f04b794f73.txt,ok,75,53,1,0,14,22,10,77,7,30
0530f994-8071-4f88-8ab8-961cafb88753.txt,ok,46,28,1,0,14,22,8,27,3,24
05339168-ff65-45f6-9bb9-5f2e986ec47d.txt,ok,51,30,1,0,14,20,9,37,6,25
053d7e28-ef33-43bf-999f-1271b6e92e7d.txt,ok,88,52,1,0,14,50,21,65,21,60
056185c7-1882-4c17-bc62-33168d68322e.txt,ok,49,29,1,0,14,20,10,28,5,23
0578e13e-b93d-4c81-bb74-5f205d04aa12.txt,ok,75,49,1,0,14,38,22,55,11,42
0580ac1e-d64e-4852-9cb2-ac9f448ba1ae.txt,ok,27,9,1,0,14,4,0,4,3,6
058f2ea9-9d9c-4d0f-8cc1-992c1bba541d.txt,ok,85,52,1,0,14,48,27,63,18,54
05992f28-a785-414e-a3bb-4a0036155667.txt,ok,66,42,1,0,14,35,21,44,9,38
05b997ac-c04a-4c35-8eda-7ba18caf06ab.txt,ok,49,30,1,0,14,19,10,36,4,22
05d55476-5183-4011-8102-5547d29efcd2.txt,ok,41,22,1,0,14,15,6,24,4,19
05d643a9-1705-400f-ab79-6f386153a4a3.txt,ok,37,20,1,0,14,14,6,18,2,16
05d9ac02-58f2-42c5-ae91-01a990d16bad.txt,ok,76,52,1,0,14,41,22,52,9,45
05e56180-70a7-415f-8879-0d24ce1025e5.txt,ok,41,23,1,0,14,12,6,27,3,15
05ec2b0f-52eb-489e-b913-cbc1dd232a5f.txt,ok,80,39,1,0,14,45,21,61,26,50
05ed5110-3e8c-4785-95b4-8394e77359d8.txt,ok,135,79,1,0,14,88,41,101,41,95
05ff1532-0014-43bd-a02d-d5ed6dcc0818.txt,ok,74,44,1,0,14,39,21,56,15,45
060828d1-36a5-4da8-8e4b-4c0e4d1698d5.txt,ok,80,49,1,0,14,47,21,58,16,54
060eb9fc-bdca-4bd2-b2fd-60596c0c1310.txt,ok,101,63,1,0,14,68,20,85,23,77
06176998-e5c2-4452-b7d9-451be9235642.txt,ok,47,27,1,0,14,21,9,29,5,25
068368d7-aab6-40ea-9fd5-026444bcff6d.txt,ok,27,10,1,0,14,4,0,4,2,6
06888069-db1f-46d0-9964-d77816d59533.txt,ok,24,4,0,0,14,0,0,1,6,1
068c07ac-edf4-4475-a88b-0efb907b9824.txt,ok,177,104,1,0,14,126,40,162,58,144
069ca7bd-b5a2-4616-829a-957bf73e65c9.txt,ok,24,4,0,0,14,0,0,1,6,1
06b4d76c-baa7-4266-81fb-5583c03e2471.txt,ok,38,21,1,0,14,14,6,20,2,17
06cc5093-e145-4398-b4f6-6a9a6099b324.txt,ok,85,39,1,0,14,48,24,62,31,58
06d6fafb-3a63-455b-afa6-41f1b0ea9032.txt,ok,25,8,1,0,14,2,0,4,2,4
06f9ff7e-0301-425d-acfe-2848c65476ea.txt,ok,70,45,1,0,14,36,21,48,10,42
0707568c-e6a0-401f-b308-3ed9c48f2871.txt,ok,49,29,1,0,14,23,9,31,5,27
070789fb-078f-4005-a985-899c3d1a974f.txt,ok,103,55,1,0,14,63,23,69,33,71
0712e8b6-c026-4c74-b530-e11eb99efb8e.txt,ok,26,8,1,0,14,3,0,4,3,5
0714844c-8bed-4dc9-907b-ddc408d5b304.txt,ok,25,8,1,0,14,2,0,4,2,4
071c844d-609d-4ce7-904d-44cf1dc01233.txt,ok,44,20,1,0,14,17,9,27,9,21
07212354-fda3-434e-9184-d698e55f6b8d.txt,ok,79,54,1,0,14,43,21,53,10,47
0741294f-b5ae-42b0-9e55-5d8121615c37.txt,ok,179,97,1,0,14,136,35,159,67,155
0742660f-a12a-48ae-a1dd-2bd0a1f66d0e.txt,ok,58,33,1,0,14,28,18,37,10,34
074f9cc6-7b3c-4cc7-9bda-88eb56371cce.txt,ok,64,37,0,0,14,32,21,41,13,38
075ca67b-f44e-4d63-9cd3-0ce45cfc0218.txt,ok,103,68,1,0,14,70,20,84,20,79
0772888b-bf2c-4a49-87ba-ec66b5567fa5.txt,ok,196,131,1,0,14,146,35,174,50,165
